group,color,secondary
Aqours,#01B8FF,
A-RISE,#8131A2,
Rina Tennoji,#AFABAF,
Kasumi Nakasu,#F2EB91,
Setsuna Yuki,#FE837B,
Emma Verde,#A1D678,
Shizuku Osaka,#ABD9F9,
Ai Miyashita,#FDA864,
Kanata Konoe,#D8A1E1,
Karin Asaka,#93B1EB,
Ayumu Uehara,#ED99A9,
Saint Aqours Snow,#01B8FF,#B84456
Nijigasaki High School Idol Club,#F6B92E,
Saint Snow,#B84456,
lily white,#CFE6D2,
Honoka Kosaka,#F6AB29,
µ's,#FB4192,
Eli Ayase,#B7DDF0,
Kotori Minami,#C2B9BC,
Printemps,#EABFD2,
BiBi,#F1D649,
Maki Nishikino,#EE7B78,
Nico Yazawa,#F2ADCC,
Nozomi Tojo,#8C70AD,
Hanayo Koizumi,#7FBE63,
Rin Hoshizora,#98D3CC,
Umi Sonoda,#288BCC,
You Watanabe,#49B0DB,
CYaRon!,#F18101,
Guilty Kiss,#8960A6,
AZALEA,#ED6DA6,
Yoshiko Tsushima,#AAAAAA,
Mari Ohara,#B341E0,
Chika Takami,#FFA160,
Hanamaru Kunikida,#FFE300,
Riko Sakurauchi,#FFD9DF,
Ruby Kurosawa,#E16FB8,
Kanan Matsuura,#47C9AA,
Dia Kurosawa,#E85A5A,
µ's small group,#FDC6DE,
Aqours small group,#B2E9FF,
PDP small group,#FCEAC0,
